product_id,product_name,brand,category,unit_size,unit_type
P0088,Nexa 6 Idly (311),,Kitchenware,,
P0089,Nexa 9 Idly (312),,Kitchenware,,
P0090,Non Stick Achumuruku,,Kitchenware,,
P0091,PREETHI - TRIO,PREETHI,Appliances,,
P0092,PREETHI - ZODIAC,PREETHI,Appliances,,
P0093,PREETHI BL SILVER,PREETHI,Appliances,,
P0094,PREETHI CHEF PRO RETRO LAVENDER,PREETHI,Appliances,,
P0095,PREETHI COCOSTA,PREETHI,Appliances,,
P0096,PREETHI ECO PLUS RETRO RED,PREETHI,Appliances,,
P0097,PREETHI ICONIC V3,PREETHI,Appliances,,
P0098,PREETHI POPULAR RETRO BLUE,PREETHI,Appliances,,
P0099,PREETHI POPULAR RETRO GREEN,PREETHI,Appliances,,
P0100,PREETHI PRESSURE PAN OL SS 3 LTR,PREETHI,Kitchenware,3.0,L
P0101,PREETHI RANGOLI-RC 320 1.8LTR,PREETHI,Appliances,1.8,L
P0102,PREETHI RANGOLI-RC 320 1.8LTR (DP),PREETHI,Appliances,1.8,L
P0103,PREETHI RANGOLI-RC 321 2.2 LTR,PREETHI,Appliances,2.2,L
P0104,PREETHI RANGOLI-RC 321 2.2 LTR (DP),PREETHI,Appliances,2.2,L
P0105,PREETHI ZODIAC 2.0 1000W,PREETHI,Appliances,,
P0106,PREETHI ZODIAC BLACK,PREETHI,Appliances,,
P0107,PREETHI-BL PLATINUM UPGRADE 5YRS,PREETHI,Appliances,,
P0108,PREETHI-BLUE LEAF GOLD 5 YEARS,PREETHI,Appliances,,
P0109,PREETHI-CROWN PLUS,PREETHI,Appliances,,
P0110,PREETHI-CROWN PRO,PREETHI,Appliances,,
P0111,PREETHI-ECO CHEF NEO,PREETHI,Appliances,,
P0112,PREETHI-ECO FRESH (BLUE),PREETHI,Appliances,,
P0113,PREETHI-ECO FRESH (YELLOW),PREETHI,Appliances,,
P0114,PREETHI-ECO PLUS 5 YEARS,PREETHI,Appliances,,
P0115,PREETHI-GALAXY,PREETHI,Appliances,,
P0116,PREETHI-GALAXY PLUS,PREETHI,Appliances,,
P0117,PREETHI-LAVENDER GRIND 5 YEARS,PREETHI,Appliances,,
P0118,PREETHI-PEPPY,PREETHI,Appliances,,
P0119,PREETHI-PEPPY PLUS 750W,PREETHI,Appliances,,
P0120,PREETHI-POWER GRIND 5YEARS ROHS,PREETHI,Appliances,,
P0121,PREETHI-STEELE SUPREME 5 YEARS,PREETHI,Appliances,,
P0122,PREETHI-TAURUS PLUS 1000 W,PREETHI,Appliances,,
P0123,PREETHI-TAURUS PRO (BLUE VARIANT) 1000 W,PREETHI,Appliances,,
P0124,PREETHI-XPRO DUO,PREETHI,Appliances,,
P0125,PREETHI-ZODIAC COSMO,PREETHI,Appliances,,
P0126,PREMIER 18E AUTO ELECTRIC COOKER WITH WARMER 1.8LTR BLUE,PREMIER,Appliances,1.8,L
P0127,PREMIER 18E AUTO ELECTRIC COOKER WITH WARMER 1.8LTR MAROON,PREMIER,Appliances,1.8,L
P0128,PREMIER 18E(EP) AUTO ELECTRIC COOKER WITH WARMER 1.8LTR MAROON,PREMIER,Appliances,1.8,L
P0129,PREMIER 22E AUTO ELECTRIC COOKER WITH WARMER 2.2LTR MAROON,PREMIER,Appliances,2.2,L
P0130,PREMIER 22E(EP) AUTO ELECTRIC COOKER WITH WARMER 2.2LTR MASTARD GREEN,PREMIER,Appliances,2.2,L
P0131,PREMIER 3TG LIFE STYLE GRINDER-PINK 2 LTR PG-502,PREMIER,Appliances,2.0,L
P0132,PREMIER 3TG LIFE STYLE GRINDER-RED 2 LTR PG-502,PREMIER,Appliances,2.0,L
P0133,PREMIER 3TG LIFE STYLE GRINDER-RED 2 LTR PG-502 (h)),PREMIER,Appliances,2.0,L
P0134,PREMIER AL KADAI 36 CM [3.5MM],PREMIER,Kitchenware,36.0,CM
P0135,PREMIER AL KADAI 40CM [3.5 MM],PREMIER,Kitchenware,40.0,CM
P0136,PREMIER AMIGA DARK BLUE MG 230V/750W MG5141,PREMIER,Appliances,,
P0137,PREMIER AMIGA DX MG 230V/750W BURGANDY MG5149,PREMIER,Appliances,,
P0138,PREMIER AMIGA DX MIXER GRINDER 230V/750W BLACK GREEN MG5158,PREMIER,Appliances,,
P0139,PREMIER AMIGA MIXER GRINDER 230V/750W BLACK GREEN MG5157,PREMIER,Appliances,,
P0140,PREMIER AMIGA MIXER GRINDER 230V/750W BLACK ORANGE MG5156,PREMIER,Appliances,,
P0141,PREMIER AMIGA MIXER GRINDER 230V/750W DARK BLUE MG5141,PREMIER,Appliances,,
P0142,PREMIER AMIGA MIXIER GRINDER 230V/750W BURGANDY MG5142,PREMIER,Appliances,,
P0143,PREMIER ASTRAL NON STICK PANIYARA PAN ROUND WITH GLASS LID (12K),PREMIER,Kitchenware,,
P0144,PREMIER ASTRAL NON STICK PANIYARA PAN SQUARE WITH GLASS LID (9K),PREMIER,Kitchenware,,
P0145,PREMIER AUTO ERC 1.0 LTR 10 E,PREMIER,Appliances,1.0,L
P0146,PREMIER AUTO ERC 1.0 LTR 10 E MAROON,PREMIER,Appliances,1.0,L
P0147,PREMIER CARINA MIXER GRINDER 230V/500W LIGHT GREEN MG5134,PREMIER,Appliances,,
P0148,PREMIER CARINA MIXER GRINDER 230V/500W PINK MG5133,PREMIER,Appliances,,
P0149,PREMIER CUCINA HARD ANODIZED PRESSURE COOKER 1.5LTR,PREMIER,Kitchenware,1.5,L
P0150,PREMIER CUCINA TB IB PC 3 LTR,PREMIER,Kitchenware,3.0,L
P0151,PREMIER CUCINA TB IB PC 5 LTR,PREMIER,Kitchenware,5.0,L
P0152,PREMIER CUCINA TB IB PC 7.5 LTR,PREMIER,Kitchenware,7.5,L
P0153,PREMIER CUTE MIXI 230V/550W KM 512,PREMIER,Appliances,,
P0154,PREMIER CUTE WET GRINDER 230V 2LTR PG-510,PREMIER,Appliances,2.0,L
P0155,PREMIER EASY GRIND + WET GRINDER 230V 2LTR (PINK) PG-513,PREMIER,Appliances,2.0,L
P0156,PREMIER ELE INSTANT ROTI MAKER PRM 01,PREMIER,Appliances,,
P0157,PREMIER ELENORA DX MIXER GRINDER 230V/550W MG5154,PREMIER,Appliances,,
P0158,PREMIER FUCHSIA BURGANDY MG 230V/650W MG5136,PREMIER,Appliances,,
P0159,PREMIER FUCHSIA PEACOCK GREEN MG 230V/650W MG5135,PREMIER,Appliances,,
P0160,PREMIER GRANITE NS COOKWARE IB 4PCS PURPLE HG-546,PREMIER,Kitchenware,,
P0161,PREMIER HANDI STAINLESS STEEL PRESSURE COOKER WITH GLASS LID 3LTR,PREMIER,Kitchenware,3.0,L
P0162,PREMIER HANDI STAINLESS STEEL PRESSURE COOKER WITH GLASS LID 5LTR,PREMIER,Kitchenware,5.0,L
P0163,PREMIER INDUCTION BOTTOM NON STICK PANIYARA PAN SMALL,PREMIER,Kitchenware,,
P0164,PREMIER INNER LID STAINLESS STEEL PRESSURE COOKER 3LTR,PREMIER,Kitchenware,3.0,L
P0165,PREMIER INNER LID STAINLESS STEEL PRESSURE COOKER 5LTR,PREMIER,Kitchenware,5.0,L
P0166,PREMIER INSTA NUTRI BLENDER 400W WITH 2 JAR GREEN NB7644,PREMIER,Appliances,,
P0167,PREMIER INSTA NUTRI BLENDER 400W WITH 2 JAR GREY NB7645,PREMIER,Appliances,,
P0168,PREMIER INSTA NUTRI BLENDER 400W WITH 2 JAR RED NB7643,PREMIER,Appliances,,
P0169,PREMIER INSTANT ROTI MAKER PRM 01,PREMIER,Appliances,,
P0170,PREMIER LIFE STYLE TILTING WET GRINDER 230V 2LTR (PINK) PG-502,PREMIER,Appliances,2.0,L
P0171,PREMIER LIFE STYLE TILTING WET GRINDER 230V 2LTR (RED) PG-502,PREMIER,Appliances,2.0,L
P0172,PREMIER NS 5PCS COOKWARE SET HG518,PREMIER,Kitchenware,,
P0173,PREMIER NS APPAM PAN 22CM SUPREME,PREMIER,Kitchenware,22.0,CM
P0174,PREMIER NS APPAM PAN 22CM SUPREME (h)),PREMIER,Kitchenware,22.0,CM
P0175,PREMIER NS CHINESE WOK 300MM,PREMIER,Appliances,300.0,MM
P0176,PREMIER NS CHINESE WOK 360MM,PREMIER,Appliances,360.0,MM
P0177,PREMIER NS IB 4PCS HG-549,PREMIER,Kitchenware,,
P0178,PREMIER PINKY MIXI 230V/550W KM-528,PREMIER,Appliances,,
P0179,PREMIER POPULAR NON STICK APPAMPAN WITH SS LID 22CM,PREMIER,Kitchenware,22.0,CM
P0180,PREMIER SUPREME NON STICK APPAMPAN WITH SS LID 22CM,PREMIER,Kitchenware,22.0,CM
P0181,PREMIER SUPREME NON STICK PANIYARA PAN LARGE (12 KULI),PREMIER,Kitchenware,,
P0182,PREMIER SUPREME NON STICK PANIYARA PAN SMALL (7 KULI),PREMIER,Kitchenware,,
P0183,PREMIER TRENDY BLACK HARD ANODIZED TADKAPAN LARGE,PREMIER,Kitchenware,,
P0184,PREMIER TRENDY BLACK HARD ANODIZED TADKAPAN SMALL,PREMIER,Kitchenware,,
P0185,PREMIER VIOLA MIXI WITH JUICER 230V/750W KM-530,PREMIER,Appliances,,
P0186,PREMIER WONDER GRINDER 1.5LTR 230V PG-503,PREMIER,Appliances,1.5,L
P0187,PREMIER WONDER GRINDER 1.5LTR 230V PG-503 (h)),PREMIER,Appliances,1.5,L
P0188,PREMIER WONDER WET GRINDER 230V 1.5LTR PG-503,PREMIER,Appliances,1.5,L
P0189,PREMIER XPRESS DIAMOND S3 MIXIE 230V/750W KM-524,PREMIER,Appliances,,
P0190,PREMIER ZESTA DX MIXER GRINDER 230V/750W BLACK MG5175,PREMIER,Appliances,,
P0191,PREMIER ZESTA DX MIXIER GRINDER 230V/750W AQUA BLUE MG5152,PREMIER,Appliances,,
P0192,PRESSURE COOKER OL ALU 5 LTR IB (SSS),,Kitchenware,5.0,L
P0193,PRESSURE COOKER OL SS304 3 LTR IB (SSS),,Kitchenware,3.0,L
P0194,PRESSURE COOKER OL SS304 5 LTR IB (SSS),,Kitchenware,5.0,L
P0195,RAJ MATHA IND PRESSURE PAN JUNIOR [3.5 LTR],RAJ MATHA,Kitchenware,3.5,L
P0196,RAJ MATHA IND PRESSURE PAN SENIOR [6.5 LTR],RAJ MATHA,Kitchenware,6.5,L
P0197,RAJ MATHA IND PRESSURE PAN JUNIOR 3.5 LTR,RAJ MATHA,Kitchenware,3.5,L
P0198,RAJ MATHA IND PRESSURE PAN JUNIOR 6.5 LTR,RAJ MATHA,Kitchenware,6.5,L
P0199,RAJ MATHA IND.COOKER 3 LTR.,RAJ MATHA,Kitchenware,3.0,L
P0200,RAJ MATHA IND.COOKER 5 LTR.,RAJ MATHA,Kitchenware,5.0,L
P0201,RAJ MATHA IND.COOKER 7.5 LTR.,RAJ MATHA,Kitchenware,7.5,L
P0202,Raj Matha Cooker 3 Ltr,RAJ MATHA,Kitchenware,3.0,L
P0203,Raj Matha Cooker 5 Ltr,RAJ MATHA,Kitchenware,5.0,L
P0204,Raj Matha Induction Cooker 3 Ltr,RAJ MATHA,Kitchenware,3.0,L
P0205,Raj Matha Induction Cooker 5 Ltr,RAJ MATHA,Kitchenware,5.0,L
P0206,Raj Matha Induction Cooker 7.5 Ltr,RAJ MATHA,Kitchenware,7.5,L
P0207,Round Tandoori 30 X 36 inch,,Kitchenware,,
P0208,S.S Regular Pressure Cooker 5lt (101),,Kitchenware,,
P0217,Safety Valve (817),,Kitchenware,,
P0222,Sowbaghya 1.25 Ltr Sakthi Wetgrinder,SOWBAGHYA,Kitchenware,1.25,L
P0223,Sowbaghya 1.25 Ltr Sakthi Wetgrinder DTP3100,SOWBAGHYA,Kitchenware,1.25,L
P0212,SS PLATE - 50 SET,,Kitchenware,,
P0224,Sowbaghya 15pcs Dinnerset,SOWBAGHYA,Kitchenware,,
P0229,Sowbaghya 26Pcs Dinnerset,SOWBAGHYA,Kitchenware,,
P0250,Sowbaghya Hotpot 1500ml SS Casserole,SOWBAGHYA,Kitchenware,1500.0,ML
P0251,Sowbaghya Hotpot 2500ml SS Casserole,SOWBAGHYA,Kitchenware,2500.0,ML
P0252,Sowbaghya Hotpot 3500ml SS Casserole,SOWBAGHYA,Kitchenware,3500.0,ML
P0218,SmartFingers Comfort Plus Mini Table Top Wet Grinder 230V 50hz 1.25 Liter,,Appliances,,
P0219,SmartFingers Comfort Plus Table Top Magic Wet Grinder 230V 50hz 2 Liter White 2 Stone,,Appliances,,
P0220,SmartFingers Masala Plus Table Top Masala Wet Grinder 230V 50hz 2 Liter Blue,,Appliances,,
P0221,Sowbaghya 1.2 Ltr Annam Electric Rice Cooker,SOWBAGHYA,Appliances,1.2,L
P0253,Sowbaghya Hotpot 5000ml SS Casserole,SOWBAGHYA,Kitchenware,5000.0,ML
P0254,Sowbaghya Idiyappam Maker,SOWBAGHYA,Kitchenware,,
P0261,Sowbaghya Non Stick Deep Appakadai,SOWBAGHYA,Kitchenware,,
P0225,Sowbaghya 2 Litres Saanvi Tilting Wet Grinder,SOWBAGHYA,Appliances,,
P0226,Sowbaghya 2 Ltr Shree 220V Grinder,SOWBAGHYA,Appliances,2.0,L
P0227,Sowbaghya 2 Ltr Shree 220V Grinder Maroon,SOWBAGHYA,Appliances,2.0,L
P0228,Sowbaghya 2.8 Ltr Annam Plus Electric Rice Cooker,SOWBAGHYA,Appliances,2.8,L
P0259,Sowbaghya NS Elite Deep Appakadai NS22,SOWBAGHYA,Kitchenware,,
P0230,Sowbaghya 2Ltr KAYA Wet Grinder (Blue),SOWBAGHYA,Appliances,2.0,L
P0231,Sowbaghya 2Ltr KAYA Wet Grinder (Grey),SOWBAGHYA,Appliances,2.0,L
P0232,Sowbaghya 2Ltr REGAL Wet Grinder (Blue),SOWBAGHYA,Appliances,2.0,L
P0233,Sowbaghya 2Ltr REGAL Wet Grinder (Blue) DTP2022,SOWBAGHYA,Appliances,2.0,L
P0234,Sowbaghya 2Ltr Varna Wet Grinder (Majestic Maroon),SOWBAGHYA,Appliances,2.0,L
P0235,Sowbaghya 2ltr Ruby Wet Grinder,SOWBAGHYA,Appliances,2.0,L
P0236,Sowbaghya 2ltr Ruby Wet Grinder DTP4300,SOWBAGHYA,Appliances,2.0,L
P0237,Sowbaghya 3 Litres Elite IB Pressure Cooker & Pan,SOWBAGHYA,Kitchenware,,
P0238,Sowbaghya 3Ltr Elite Alu Pressure Cooker & Pan EPP03,SOWBAGHYA,Kitchenware,3.0,L
P0239,Sowbaghya 3Ltr JUMBO Wet Grinder (Blue),SOWBAGHYA,Appliances,3.0,L
P0240,Sowbaghya 3Ltr JUMBO Wet Grinder (Grey),SOWBAGHYA,Appliances,3.0,L
P0241,Sowbaghya 5LTR Elite IB Pressure Cooker & Pan,SOWBAGHYA,Kitchenware,5.0,L
P0242,Sowbaghya 5Ltr Elite IB Pressure Cooker & Pan EPP05,SOWBAGHYA,Kitchenware,5.0,L
P0243,Sowbaghya 5ltr Aluminium Pressure Cooker,SOWBAGHYA,Kitchenware,5.0,L
P0244,Sowbaghya 5ltr Aluminium Pressure Cooker Alu05,SOWBAGHYA,Kitchenware,5.0,L
P0245,Sowbaghya Annamplus 1.8ltr Electric Ricecooker,SOWBAGHYA,Appliances,1.8,L
P0246,Sowbaghya Dazzle 2 Ltr Wet Grinder - Yellow,SOWBAGHYA,Appliances,2.0,L
P0247,Sowbaghya Dazzle 2ltr Wet Grinder - Grey,SOWBAGHYA,Appliances,2.0,L
P0248,Sowbaghya Elite 5ltr Induction Base Pressure Cooker,SOWBAGHYA,Kitchenware,5.0,L
P0249,Sowbaghya Elite 7.5ltr Aluminium Pressure Cooker,SOWBAGHYA,Kitchenware,7.5,L
P0263,Sowbaghya Roti Maker,SOWBAGHYA,Kitchenware,,
P0266,Sowbaghya SS Chapati Dabba - ISS23,SOWBAGHYA,Kitchenware,,
P0267,Sowbaghya SS Duosteel Flask 500ML SSF08,SOWBAGHYA,Kitchenware,500.0,ML
P0273,Sowbaghya Stainless Steel Induction Base Frypan,SOWBAGHYA,Kitchenware,,
P0276,Sowbaghya Ultima Puttu Maker,SOWBAGHYA,Kitchenware,,
P0255,Sowbaghya Magic 750w Mixer Grinder,SOWBAGHYA,Appliances,,
P0256,Sowbaghya Masala Spice Box - 17cm - MSP010,SOWBAGHYA,Kitchenware,17.0,CM
P0257,Sowbaghya Masala Spice Box - 20.5cm - MSP012,SOWBAGHYA,Kitchenware,20.5,CM
P0258,Sowbaghya Masala Spice Box Elite 22.5cm - MSPE010,SOWBAGHYA,Kitchenware,22.5,CM
P0277,Sowbaghya Ultima SS 4pcs Dabara Set,SOWBAGHYA,Kitchenware,,
P0260,Sowbaghya NS Uttapam Tawa 4 Pits,SOWBAGHYA,Kitchenware,,
P0209,SPARES GASKET 10 LTR.,,Kitchenware,10.0,L
P0262,Sowbaghya Non-Stick Multi Kadai,SOWBAGHYA,Kitchenware,,
P0210,SPARES GASKET 3 LTR.,,Kitchenware,3.0,L
P0264,Sowbaghya SS 3 Tier Steamer with Lid,SOWBAGHYA,Kitchenware,,
P0265,Sowbaghya SS 3 Tier Steamer with Lid ISS27,SOWBAGHYA,Kitchenware,,
P0211,SPARES GASKET 5 LTR.,,Kitchenware,5.0,L
P0213,SS Round Tandoori 24 X 30 inch,,Kitchenware,,
P0268,Sowbaghya SS Fry Pan - Mini ISS20,SOWBAGHYA,Kitchenware,,
P0269,Sowbaghya SS Tea/Coffee Cup 100ML - ISS28,SOWBAGHYA,Beverages,100.0,ML
P0270,Sowbaghya SS Tea/Coffee Cup 150ML - ISS29,SOWBAGHYA,Beverages,150.0,ML
P0271,Sowbaghya SS Tea/Coffee Cup 250ML - ISS31,SOWBAGHYA,Beverages,250.0,ML
P0272,Sowbaghya Stainless Steel Coffee Filter,SOWBAGHYA,Beverages,,
P0214,SS Tandoori 24 X 24 Square,,Kitchenware,,
P0274,Sowbaghya Twister Bullet Mixer 450W - Black BM01B,SOWBAGHYA,Appliances,,
P0275,Sowbaghya Twister Bullet Mixer 450W - Blue BM01W,SOWBAGHYA,Appliances,,
P0215,SS Tandoori 30 X 30 Square,,Kitchenware,,
P0216,SS Tandoori 36 X 36 Square,,Kitchenware,,
P0278,Sowbaghya Xtra Large Dosa Tawa,SOWBAGHYA,Kitchenware,,
P0279,Spice Grinding Machine-4KW (SGM005),,Grocery,,
P0280,Stylish Cooker 5ltr (104),,Kitchenware,5.0,L
P0281,TRI DIE CAST PANIYARAKUZHI 12 K W/L,,Kitchenware,,
P0282,TRI DIE CAST PANIYARAKUZHI 12K W/LID,,Kitchenware,,
P0283,TRI PANIYARA KUZHI 07 K,,Kitchenware,,
P0284,TRI PANIYARA KUZHI 09 K,,Kitchenware,,
P0285,TRI PANIYARA KUZHI 12 K,,Kitchenware,,
P0286,TRIPLE LEAF INDUCTION COMBO 05 LTR.,,Kitchenware,5.0,L
P0287,TRIPLE LEAF INDUCTION COMBO 5 LTR,,Kitchenware,5.0,L
P0288,TRIPLE LEAF INDUCTION COMBO 8.5 LTR,,Kitchenware,8.5,L
P0289,TRIPLE LEAF INDUCTION COMBO 8.5 LTR.,,Kitchenware,8.5,L
P0290,Trishul Paniyaram 12k,,Kitchenware,,
P0291,Trishul Paniyaram 7k,,Kitchenware,,
P0292,Trishul Paniyaram 9k,,Kitchenware,,
P0293,V COOK COOKER 03 LTR.,,Kitchenware,3.0,L
P0294,V COOK COOKER 05 LTR.,,Kitchenware,5.0,L
P0295,V COOK IND COOKER 03 LTR,,Kitchenware,3.0,L
P0296,V COOK IND COOKER 05 LTR.,,Kitchenware,5.0,L
P0297,V COOK IND COOKER 3 LTR,,Kitchenware,3.0,L
P0298,V COOK IND COOKER 5 LTR,,Kitchenware,5.0,L
P0299,V Cook Cooker 5 Ltr,,Kitchenware,5.0,L
P0300,V Cook Cooker 7.5 Ltr,,Kitchenware,7.5,L
P0301,V SMART IND COOKER 3 LTR,V SMART,Kitchenware,3.0,L
P0302,V SMART IND COOKER 5 LTR,V SMART,Kitchenware,5.0,L
P0303,V SMART IND COOKER 7.5 LTR,V SMART,Kitchenware,7.5,L
P0304,V SMART IND PRESSURE PAN JUNIOR [3.5 LTR],V SMART,Kitchenware,3.5,L
P0305,V SMART IND PRESSURE PAN SENIOR [6.5 LTR],V SMART,Kitchenware,6.5,L
P0306,V SMART IND TAWA [3.40 MM] 300 MM,V SMART,Kitchenware,3.4,MM
P0307,V SMART IND.COOKER 2 LTR.,V SMART,Kitchenware,2.0,L
P0308,V SMART IND.COOKER 3 LTR.,V SMART,Kitchenware,3.0,L
P0309,V SMART IND.COOKER 5 LTR.,V SMART,Kitchenware,5.0,L
P0310,V SMART IND.COOKER 7.5 LTR.,V SMART,Kitchenware,7.5,L
P0311,V SMART MIXI 4 JAR 750W [HYBRID],V SMART,Appliances,,
P0312,V SMART MIXIE 4 JAR 750 W [COPPER],V SMART,Appliances,,
P0313,V TRIX COOKER 03 LTR,,Kitchenware,3.0,L
P0314,V TRIX COOKER 05 LTR,,Kitchenware,5.0,L
P0315,V-Trix Cooker 3 Ltr,,Kitchenware,3.0,L
P0316,V-Trix Cooker 5 Ltr,,Kitchenware,5.0,L
P0317,V.Cook Cooker 10 Ltr,,Kitchenware,10.0,L
