product_id,supplier_id,latest_purchase_date,qty_till_date,latest_price_inr,latest_price_eur,price_per_unit_inr,total_spend_inr,total_spend_eur,is_free_item,has_price_change
P0339,S01,2024-07-24,25.55,308.47,2.81,6.17,7808.09,71.05,False,True
P0340,S01,2024-07-24,29.68,440.31,4.01,8.81,12733.54,115.88,False,True
P0343,S01,2023-11-09,6.69,1573.17,14.32,,10516.8,95.71,False,False
P0345,S01,2023-11-09,5.13,1623.26,14.77,,8328.42,75.79,False,False
P0347,S01,2023-11-09,30.07,255.35,2.32,,7677.53,69.86,False,False
P0348,S01,2023-11-09,27.25,227.35,2.07,,6196.25,56.39,False,False
P0351,S01,2023-11-09,8.15,440.08,4.0,,3588.27,32.65,False,False
P0354,S01,2024-07-24,16.48,642.33,5.85,128.47,10583.16,96.31,False,False
P0355,S01,2023-11-09,7.94,445.53,4.05,148.51,3538.26,32.2,False,False
P0356,S01,2023-11-10,25.65,575.14,5.23,115.03,14755.22,134.28,False,False
P0357,S01,2023-11-09,8.67,660.45,6.01,220.15,5729.26,52.14,False,False
P0358,S01,2023-11-09,6.61,648.04,5.9,162.01,4281.3,38.96,False,False
P0359,S01,2023-11-09,5.39,451.46,4.11,,2434.98,22.16,False,False
P0360,S01,2023-11-09,6.21,533.84,4.86,,3312.7,30.15,False,False
P0361,S01,2023-11-09,5.35,494.42,4.5,123.61,2644.87,24.07,False,False
P0362,S01,2023-11-09,1.7,396.34,3.61,79.27,675.5,6.15,False,False
P0363,S01,2023-11-09,6.65,474.08,4.31,94.82,3152.13,28.69,False,False
P0364,S01,2024-07-24,22.48,1941.1,17.66,,43639.88,397.12,False,False
P0365,S01,2023-11-10,4.57,2398.16,21.82,,10948.43,99.63,False,False
P0366,S01,2024-07-24,13.64,2228.54,20.28,,30388.78,276.54,False,False
P0367,S01,2023-11-09,1.85,363.14,3.3,90.79,671.83,6.12,False,False
P0369,S01,2023-11-09,5.58,543.65,4.95,,3032.31,27.59,False,False
P0370,S01,2023-11-09,6.46,433.02,3.94,,2796.14,25.44,False,False
P0371,S01,2023-11-09,6.54,461.89,4.2,1.96,3022.28,27.5,False,False
P0373,S01,2023-11-09,6.63,312.84,2.85,1.1,2075.29,18.89,False,False
P0376,S01,2023-11-09,28.68,303.58,2.76,,8705.26,79.21,False,False
P0377,S01,2023-11-09,23.67,117.34,1.07,,2776.96,25.27,False,False
P0378,S01,2023-11-09,24.12,130.46,1.19,,3146.97,28.64,False,False
P0379,S01,2023-11-09,58.51,105.58,0.96,,6177.46,56.21,False,False
P0380,S01,2024-07-24,106.57,106.29,0.97,,11326.98,103.08,False,False
P0381,S01,2024-07-24,33.94,374.8,3.41,,12818.84,116.65,False,True
P0387,S01,2023-11-09,21.56,418.7,3.81,,9028.1,82.16,False,False
P0388,S01,2023-11-09,18.31,473.03,4.3,,8659.13,78.8,False,False
P0389,S01,2023-11-09,20.89,536.93,4.89,,11214.47,102.05,False,False
P0390,S01,2023-11-09,9.84,537.94,4.9,,5295.02,48.18,False,False
P0391,S01,2023-11-09,17.83,571.35,5.2,,10186.42,92.7,False,False
P0392,S01,2024-07-24,78.06,205.2,1.87,,16018.19,145.77,False,False
P0395,S01,2023-11-09,5.11,393.4,3.58,78.68,2008.67,18.28,False,False
P0396,S01,2023-11-09,6.44,336.08,3.06,84.02,2164.44,19.7,False,False
P0397,S01,2023-11-09,6.14,372.82,3.39,74.56,2287.74,20.82,False,False
P0400,S01,2023-11-09,6.37,350.28,3.19,70.06,2231.49,20.3,False,False
P0402,S01,2024-07-24,26.38,224.51,2.04,,5922.89,53.9,False,False
P0403,S01,2024-07-24,23.06,266.95,2.43,,6156.81,56.03,False,False
P0404,S01,2024-07-24,28.21,374.29,3.41,,10559.25,96.09,False,False
P0405,S01,2024-07-24,89.36,220.82,2.01,,19731.41,179.56,False,False
P0406,S01,2024-07-24,146.1,232.01,2.11,,33896.26,308.45,False,False
P0407,S01,2024-07-24,70.83,233.82,2.13,,16535.98,150.47,False,True
P0408,S01,2024-07-24,110.03,127.69,1.16,,14049.61,127.85,False,False
P0417,S01,2024-07-24,35.74,252.67,2.3,,9031.4,82.19,False,False
P0418,S01,2024-07-24,36.75,363.72,3.31,0.52,13367.25,121.64,False,False
P0419,S01,2023-11-09,15.41,227.15,2.07,,3499.69,31.84,False,False
P0420,S01,2023-11-09,5.54,123.55,1.12,,684.7,6.23,False,False
P0421,S01,2023-11-09,6.05,161.19,1.47,,975.59,8.87,False,False
P0422,S01,2023-11-09,6.77,166.82,1.52,,1129.3,10.28,False,False
P0423,S01,2023-11-09,5.87,215.24,1.96,,1262.96,11.49,False,False
P0424,S01,2023-11-09,6.07,283.92,2.58,,1723.11,15.68,False,False
P0425,S01,2023-11-09,6.68,371.73,3.38,,2482.9,22.6,False,False
P0426,S01,2023-11-09,16.55,401.25,3.65,,6639.73,60.42,False,False
P0427,S01,2023-11-09,16.72,402.72,3.66,,6732.77,61.27,False,False
P0428,S01,2023-11-09,5.6,1780.27,16.2,,9964.59,90.68,False,False
P0429,S01,2024-07-24,35.2,373.35,3.4,,13141.78,119.59,False,False
P0431,S01,2024-07-24,5.21,368.37,3.35,,1920.94,17.48,False,False
P0432,S01,2024-07-24,69.56,393.33,3.58,,27358.01,248.96,False,False
P0433,S01,2024-07-24,7.1,408.9,3.72,,2903.71,26.42,False,False
P0434,S01,2023-11-09,4.23,899.21,8.18,,3799.32,34.57,False,False
P0435,S01,2023-11-09,3.47,1223.45,11.13,,4245.76,38.64,False,False
P0005,S02,2025-05-22,17.59,652.2,5.94,,11469.14,104.37,False,False
P0006,S02,2025-05-22,25.03,746.41,6.79,,18682.47,170.01,False,False
P0013,S02,2025-05-22,26.16,271.27,2.47,,7095.62,64.57,False,False
P0014,S02,2025-05-22,24.89,355.04,3.23,88.76,8837.14,80.42,False,False
P0058,S02,2025-05-22,22.1,983.44,8.95,196.69,21730.64,197.74,False,False
P0059,S02,2025-05-22,43.19,56.58,0.51,,2443.69,22.23,False,False
P0060,S02,2025-05-22,33.21,835.62,7.6,,27749.48,252.52,False,False
P0073,S02,2025-05-22,31.2,623.02,5.67,,19436.73,176.88,False,False
P0074,S02,2025-05-22,23.13,508.14,4.62,,11753.42,106.96,False,False
P0075,S02,2025-05-22,31.2,340.68,3.1,,10630.36,96.73,False,False
P0076,S02,2025-05-22,34.21,636.6,5.79,127.32,21777.37,198.17,False,False
P0077,S02,2025-05-22,35.54,737.09,6.71,98.27,26193.3,238.36,False,False
P0068,S02,2025-05-22,21.26,538.84,4.9,179.61,11455.34,104.24,False,False
P0069,S02,2025-05-22,14.81,637.82,5.8,127.56,9444.33,85.94,False,False
P0078,S02,2025-05-22,17.59,689.54,6.27,137.91,12131.14,110.39,False,False
P0079,S02,2025-05-22,15.3,854.84,7.78,113.98,13080.18,119.03,False,False
P0081,S02,2025-05-22,16.87,552.79,5.03,,9326.05,84.87,False,False
P0082,S02,2025-05-22,15.51,607.63,5.53,,9425.54,85.77,False,False
P0083,S02,2025-05-22,16.51,692.72,6.3,,11438.15,104.09,False,False
P0084,S02,2025-05-22,16.36,767.09,6.98,,12552.43,114.23,False,False
P0085,S02,2025-05-22,19.45,818.77,7.45,,15929.09,144.96,False,False
P0086,S02,2025-05-22,17.22,901.66,8.21,,15528.2,141.31,False,False
P0087,S02,2025-05-22,20.08,893.25,8.13,,17937.49,163.23,False,False
P0088,S02,2025-05-22,32.46,380.06,3.46,,12335.28,112.25,False,False
P0089,S02,2025-05-22,22.85,578.87,5.27,,13226.81,120.36,False,False
P0208,S02,2025-05-22,18.25,1363.82,12.41,,24891.21,226.51,False,False
P0217,S02,2025-05-22,29.27,11.9,0.11,,348.16,3.17,False,False
P0280,S02,2025-05-22,36.73,723.77,6.59,144.76,26584.38,241.92,False,False
P0008,S03,2025-05-22,9.96,389.61,3.55,,3879.02,35.3,False,False
P0009,S03,2025-05-22,17.3,424.12,3.86,,7339.26,66.79,False,False
P0010,S03,2025-05-22,17.75,368.24,3.35,,6537.14,59.49,False,False
P0011,S03,2025-05-22,1.28,421.49,3.84,,537.93,4.89,False,False
P0012,S03,2025-05-22,5.76,474.21,4.32,,2731.26,24.85,False,False
P0064,S03,2023-11-09,9.54,18.18,0.17,6.06,173.49,1.58,False,False
P0065,S03,2023-11-09,11.05,22.57,0.21,4.51,249.38,2.27,False,False
P0066,S03,2023-11-09,9.92,23.2,0.21,3.09,230.11,2.09,False,False
P0067,S03,2025-05-22,11.61,708.28,6.45,,8220.13,74.81,False,False
P0070,S03,2025-05-22,11.55,306.1,2.79,,3535.74,32.17,False,False
P0071,S03,2025-05-22,11.77,381.52,3.47,,4492.37,40.88,False,False
P0072,S03,2025-05-22,11.3,467.96,4.26,,5288.39,48.13,False,False
P0080,S03,2023-11-09,12.38,168.22,1.53,,2083.07,18.95,False,False
P0090,S03,2025-05-22,34.24,106.71,0.97,,3653.5,33.25,False,False
P0202,S03,2025-05-22,11.41,471.55,4.29,157.18,5382.37,48.98,False,False
P0203,S03,2025-05-22,24.69,670.39,6.1,134.08,16552.31,150.62,False,False
P0197,S03,2023-11-09,6.58,391.8,3.57,111.94,2578.63,23.46,False,False
P0198,S03,2023-11-09,5.45,512.73,4.67,78.88,2796.56,25.45,False,False
P0204,S03,2023-11-09,5.65,277.66,2.53,92.56,1569.13,14.28,False,False
P0205,S03,2023-11-09,10.6,383.16,3.49,76.63,4061.16,36.96,False,False
P0206,S03,2023-11-09,6.0,480.52,4.37,64.07,2883.34,26.24,False,False
P0212,S03,2023-11-09,57.29,236.54,2.15,,13551.2,123.32,False,False
P0281,S03,2023-11-09,5.85,118.09,1.07,,691.07,6.29,False,False
P0287,S03,2023-11-09,5.11,403.63,3.67,80.73,2063.42,18.77,False,False
P0288,S03,2023-11-09,5.22,542.59,4.94,63.84,2833.15,25.78,False,False
P0290,S03,2025-05-22,13.57,289.61,2.64,,3930.74,35.77,False,False
P0291,S03,2025-05-22,10.42,180.99,1.65,,1886.47,17.17,False,False
P0292,S03,2025-05-22,12.06,232.67,2.12,,2807.0,25.54,False,False
P0299,S03,2025-05-22,13.52,682.16,6.21,136.43,9224.78,83.95,False,False
P0300,S03,2025-05-22,18.06,891.81,8.12,118.9,16107.18,146.58,False,False
P0297,S03,2023-11-09,13.36,250.15,2.28,83.39,3340.77,30.4,False,False
P0298,S03,2023-11-09,11.7,433.34,3.94,86.67,5069.42,46.14,False,False
P0301,S03,2023-11-09,7.23,257.21,2.34,85.74,1859.64,16.92,False,False
P0302,S03,2023-11-09,8.54,371.62,3.38,74.32,3172.06,28.86,False,False
P0303,S03,2023-11-10,8.68,536.69,4.88,71.56,4658.0,42.39,False,False
P0312,S03,2023-11-10,6.87,1323.73,12.05,,9089.53,82.71,False,False
P0315,S03,2023-11-09,12.3,217.57,1.98,72.52,2676.11,24.36,False,False
P0316,S03,2023-11-09,16.5,350.19,3.19,70.04,5779.31,52.6,False,False
P0317,S03,2025-05-22,5.87,925.34,8.42,92.53,5432.03,49.44,False,False
P0437,S03,2025-05-22,49.58,312.42,2.84,,15488.87,140.94,False,False
P0321,S03,2023-11-10,18.3,153.71,1.4,,2812.74,25.59,False,False
P0322,S03,2023-11-10,8.52,213.88,1.95,,1822.32,16.58,False,False
P0325,S03,2023-11-10,6.26,813.95,7.41,,5096.64,46.38,False,False
P0327,S03,2023-11-10,5.13,831.46,7.57,,4262.24,38.78,False,False
P0328,S03,2023-11-09,11.34,284.16,2.59,0.57,3222.48,29.33,False,False
P0329,S03,2023-11-09,26.95,177.83,1.62,44.46,4792.03,43.61,False,False
P0438,S03,2025-05-22,21.21,360.01,3.28,90.0,7636.65,69.49,False,False
P0330,S03,2023-11-09,10.17,202.95,1.85,4.06,2063.51,18.78,False,False
P0332,S03,2023-11-09,6.38,215.72,1.96,4.31,1376.87,12.53,False,False
P0439,S03,2025-05-22,18.2,302.11,2.75,6.04,5498.25,50.03,False,False
P0333,S03,2023-11-09,4.43,58.87,0.54,,260.56,2.37,False,False
P0335,S03,2023-11-09,6.81,261.32,2.38,4.35,1779.48,16.19,False,False
P0337,S03,2023-11-09,5.24,252.99,2.3,4.22,1326.25,12.07,False,False
P0440,S03,2025-05-22,13.44,432.3,3.93,7.21,5807.91,52.85,False,False
P0441,S03,2025-05-22,12.28,521.7,4.75,10.43,6408.16,58.32,False,False
P0340,S03,2023-11-09,5.94,230.4,2.1,4.61,1367.56,12.44,False,False
P0341,S03,2023-11-09,6.32,125.02,1.14,2.5,789.68,7.18,False,False
P0342,S03,2023-11-09,5.86,189.66,1.73,3.79,1110.83,10.11,False,False
P0442,S03,2025-05-22,10.33,254.15,2.31,,2625.63,23.9,False,False
P0344,S03,2023-11-09,5.87,925.77,8.42,,5436.94,49.48,False,False
P0346,S03,2023-11-09,6.57,931.34,8.48,,6114.39,55.64,False,False
P0443,S03,2025-05-22,11.89,203.53,1.85,203.53,2420.6,22.03,False,False
P0444,S03,2025-05-22,13.13,240.53,2.19,160.36,3157.47,28.73,False,False
P0445,S03,2025-05-22,13.05,310.22,2.82,155.11,4048.0,36.83,False,False
P0446,S03,2023-11-09,30.27,159.06,1.45,,4814.17,43.8,False,False
P0447,S03,2023-11-09,26.73,123.41,1.12,,3298.49,30.02,False,False
P0349,S03,2023-11-09,3.88,571.97,5.2,,2219.47,20.2,False,False
P0350,S03,2023-11-09,4.32,781.33,7.11,,3372.47,30.69,False,False
P0352,S03,2023-11-09,5.35,148.15,1.35,,791.9,7.21,False,False
P0353,S03,2023-11-09,6.4,159.97,1.46,,1024.26,9.32,False,False
P0448,S03,2025-05-22,11.85,274.49,2.5,0.96,3251.51,29.59,False,False
P0449,S03,2025-05-22,13.26,344.35,3.13,1.15,4566.5,41.56,False,False
P0450,S03,2025-05-22,6.84,1003.03,9.13,100.3,6856.84,62.4,False,False
P0451,S03,2025-05-22,5.6,1089.71,9.92,90.81,6098.12,55.5,False,False
P0452,S03,2023-11-09,7.62,275.0,2.5,91.67,2094.53,19.06,False,False
P0453,S03,2025-05-22,29.65,765.11,6.96,153.02,16214.3,147.55,False,True
P0454,S03,2025-05-22,10.75,875.89,7.97,159.25,9414.18,85.67,False,False
P0455,S03,2025-05-22,12.88,968.73,8.82,129.16,12478.98,113.55,False,False
P0456,S03,2023-11-09,7.62,355.3,3.23,118.43,2706.71,24.63,False,False
P0457,S03,2023-11-09,6.68,271.85,2.47,1.18,1816.23,16.52,False,False
P0359,S03,2023-11-09,5.39,271.25,2.47,,1463.01,13.31,False,False
P0458,S03,2023-11-09,6.37,309.78,2.82,1.13,1971.79,17.95,False,False
P0362,S03,2023-11-09,1.7,238.0,2.17,47.6,405.63,3.69,False,False
P0459,S03,2025-05-22,18.8,482.24,4.39,96.45,7695.01,70.02,False,True
P0368,S03,2025-05-22,13.8,401.04,3.65,100.26,5193.5,47.26,False,True
P0460,S03,2023-11-09,5.1,429.25,3.91,107.31,2191.26,19.94,False,False
P0461,S03,2023-11-09,5.48,279.49,2.54,69.87,1530.47,13.93,False,False
P0462,S03,2025-05-22,10.8,628.46,5.72,,6787.12,61.76,False,False
P0463,S03,2025-05-22,11.65,702.67,6.39,,8188.22,74.51,False,False
P0372,S03,2023-11-10,5.92,693.97,6.32,,4107.3,37.38,False,False
P0464,S03,2023-11-09,6.45,208.7,1.9,0.73,1345.2,12.24,False,False
P0465,S03,2023-11-09,5.78,229.9,2.09,0.77,1327.76,12.09,False,False
P0374,S03,2023-11-09,4.68,187.7,1.71,,878.44,8.0,False,False
P0375,S03,2023-11-09,10.2,184.25,1.68,,1878.6,17.09,False,False
P0376,S03,2023-11-09,34.41,181.71,1.65,,6252.81,56.9,False,False
P0466,S03,2025-05-22,10.22,1714.93,15.61,,17518.86,159.42,False,False
P0467,S03,2023-11-09,24.55,74.5,0.68,,1829.15,16.64,False,False
P0468,S03,2023-11-09,26.61,86.99,0.79,,2314.94,21.07,False,False
P0379,S03,2023-11-09,58.51,62.92,0.57,,3681.52,33.5,False,False
P0469,S03,2025-05-22,11.55,296.03,2.69,197.35,3419.1,31.11,False,False
P0470,S03,2025-05-22,20.89,349.04,3.18,,7292.96,66.36,False,False
P0382,S03,2023-11-09,19.78,271.07,2.47,,5360.85,48.78,False,False
P0383,S03,2023-11-09,18.51,281.12,2.56,,5204.82,47.36,False,False
P0384,S03,2023-11-09,18.6,319.72,2.91,,5947.84,54.12,False,False
P0385,S03,2023-11-09,10.35,357.21,3.25,,3695.62,33.63,False,False
P0386,S03,2023-11-09,21.47,320.75,2.92,,6887.19,62.67,False,False
P0471,S03,2025-05-22,9.68,479.11,4.36,,4637.49,42.2,False,False
P0472,S03,2025-05-22,24.8,569.57,5.18,,14122.64,128.51,False,False
P0473,S03,2025-05-22,28.29,530.9,4.83,,15019.58,136.68,False,False
P0474,S03,2025-05-22,10.94,665.05,6.05,,7274.25,66.2,False,False
P0392,S03,2023-11-09,29.27,122.93,1.12,,3598.56,32.75,False,False
P0393,S03,2023-11-09,6.81,303.53,2.76,,2066.01,18.8,False,False
P0394,S03,2023-11-09,5.92,318.5,2.9,,1885.73,17.16,False,False
P0475,S03,2023-11-09,6.83,217.13,1.98,43.43,1483.21,13.49,False,False
P0398,S03,2023-11-09,6.56,204.58,1.86,0.72,1342.5,12.22,False,False
P0399,S03,2023-11-09,5.22,195.18,1.78,39.04,1019.18,9.28,False,False
P0401,S03,2023-11-09,6.28,232.74,2.12,46.55,1461.52,13.3,False,False
P0476,S03,2025-05-22,12.35,347.97,3.17,,4297.36,39.1,False,False
P0477,S03,2025-05-22,10.96,201.84,1.84,,2212.73,20.13,False,False
P0478,S03,2025-05-22,13.33,295.76,2.69,,3942.8,35.88,False,False
P0406,S03,2023-11-09,33.72,139.21,1.27,,4693.33,42.71,False,False
P0407,S03,2023-11-09,26.56,140.11,1.27,,3721.2,33.86,False,False
P0409,S03,2023-11-10,5.29,72.57,0.66,,384.01,3.49,False,False
P0410,S03,2023-11-10,5.43,96.32,0.88,,522.96,4.76,False,False
P0411,S03,2023-11-10,6.84,101.52,0.92,,694.51,6.32,False,False
P0412,S03,2023-11-10,6.28,118.16,1.08,,741.52,6.75,False,False
P0413,S03,2023-11-10,5.56,152.95,1.39,,850.74,7.75,False,False
P0414,S03,2023-11-10,6.23,227.32,2.07,,1415.86,12.88,False,False
P0415,S03,2023-11-10,16.82,231.28,2.1,,3891.2,35.41,False,False
P0416,S03,2023-11-10,17.18,273.25,2.49,,4695.13,42.73,False,False
P0418,S03,2023-11-09,9.67,218.62,1.99,0.31,2114.36,19.24,False,False
P0479,S03,2025-05-22,10.37,239.34,2.18,,2481.41,22.58,False,False
P0480,S03,2025-05-22,13.39,239.68,2.18,,3210.41,29.22,False,False
P0481,S03,2025-05-22,11.31,425.9,3.88,,4816.34,43.83,False,False
P0482,S03,2025-05-22,12.24,263.29,2.4,5.27,3222.56,29.33,False,False
P0483,S03,2025-05-22,10.81,320.39,2.92,6.41,3462.09,31.5,False,False
P0484,S03,2025-05-22,39.69,708.67,6.45,141.73,28123.79,255.92,False,False
P0430,S03,2023-11-10,10.74,285.71,2.6,,3068.76,27.93,False,False
P0485,S03,2025-05-22,9.45,312.41,2.84,,2952.47,26.87,False,False
P0486,S03,2025-05-22,16.73,1511.98,13.76,,25298.79,230.22,False,False
P0487,S03,2025-05-22,18.28,338.61,3.08,,6189.19,56.32,False,False
P0488,S03,2023-11-09,6.59,1059.27,9.64,,6982.06,63.54,False,False
P0489,S03,2025-05-22,12.79,142.26,1.29,,1820.03,16.57,False,False
P0490,S03,2025-05-22,13.19,189.73,1.73,,2502.36,22.77,False,False
P0491,S03,2025-05-22,11.1,246.26,2.24,,2732.69,24.87,False,False
P0492,S03,2025-05-22,10.48,249.87,2.27,,2619.15,23.84,False,False
P0493,S03,2025-05-22,11.8,351.96,3.2,,4154.03,37.8,False,False
P0494,S03,2025-05-22,11.47,460.77,4.19,,5285.77,48.1,False,False
P0495,S03,2025-05-22,13.79,508.36,4.63,,7009.76,63.79,False,False
P0496,S03,2025-05-22,40.56,253.99,2.31,,9013.39,82.02,False,True
P0497,S03,2025-05-22,30.13,218.54,1.99,,5494.41,50.0,False,True
P0498,S03,2023-11-09,5.39,1376.41,12.53,,7413.34,67.46,False,False
P0499,S03,2025-05-22,17.55,1618.73,14.73,,24621.9,224.06,False,True
P0500,S03,2025-05-22,17.37,969.06,8.82,129.21,16834.57,153.2,False,False
P0436,S03,2025-05-22,5.48,1093.27,9.95,312.36,5989.61,54.51,False,False
P0501,S03,2025-05-22,14.86,2448.95,22.29,1224.47,36384.28,331.1,False,False
P0002,S04,2025-05-22,40.51,3486.2,31.72,1743.1,141233.2,1285.22,False,False
P0004,S04,2025-05-22,87.85,3180.64,28.94,1060.21,279413.05,2542.66,False,False
P0218,S05,2025-05-21,10.14,4563.63,41.53,,46255.74,420.93,False,False
P0219,S05,2025-05-21,11.26,5289.04,48.13,,59573.35,542.12,False,False
P0220,S05,2025-05-21,10.34,6599.85,60.06,,68261.13,621.17,False,False
P0091,S06,2025-05-23,21.43,2401.26,21.85,,50817.29,462.44,False,True
P0092,S06,2025-05-23,32.97,6648.03,60.5,,216917.98,1973.95,False,True
P0093,S06,2025-05-23,54.82,3402.39,30.96,,186525.18,1697.38,False,False
P0094,S06,2025-05-23,24.43,3116.13,28.36,,75777.9,689.58,False,True
P0095,S06,2024-11-08,26.72,3578.23,32.56,,95607.02,870.02,False,False
P0096,S06,2025-05-23,27.74,4009.5,36.49,,110702.86,1007.39,False,True
P0097,S06,2025-05-23,6.13,6922.07,62.99,,42451.36,386.3,False,False
P0098,S06,2024-07-24,11.5,3449.22,31.39,,39683.29,361.11,False,False
P0099,S06,2024-11-08,13.76,3362.67,30.6,,46272.23,421.07,False,False
P0100,S06,2024-03-12,6.81,1589.83,14.47,529.95,10823.91,98.5,False,False
P0101,S06,2025-05-23,9.82,1755.76,15.98,975.42,17235.23,156.84,False,False
P0102,S06,2025-05-23,13.7,1791.87,16.31,995.48,24540.87,223.32,False,False
P0103,S06,2025-05-23,10.71,1962.81,17.86,892.19,21027.02,191.35,False,False
P0104,S06,2025-05-23,12.09,2261.97,20.58,1028.17,27343.84,248.83,False,False
P0105,S06,2024-11-08,16.85,10199.23,92.81,,171831.51,1563.67,False,False
P0106,S06,2025-05-23,11.33,5402.65,49.16,,61189.88,556.83,False,False
P0107,S06,2024-11-08,32.4,4798.33,43.66,,155483.92,1414.9,False,False
P0108,S06,2025-05-23,51.62,3784.74,34.44,,195382.13,1777.97,False,False
P0109,S06,2024-07-24,21.67,2809.32,25.56,,60864.34,553.87,False,False
P0110,S06,2025-05-23,17.04,2281.11,20.76,,38868.9,353.71,False,False
P0111,S06,2024-11-08,17.43,2066.4,18.8,,36018.33,327.77,False,False
P0112,S06,2025-05-23,9.84,8231.72,74.91,,80974.19,736.86,False,False
P0113,S06,2025-05-23,10.45,7951.82,72.36,,83133.9,756.52,False,False
P0114,S06,2025-05-23,10.82,4123.63,37.53,,44623.92,406.08,False,False
P0115,S06,2025-05-23,38.07,2939.21,26.75,,110765.09,1007.96,False,True
P0116,S06,2024-07-24,100.2,3265.05,29.71,,327963.58,2984.46,False,True
P0117,S06,2024-07-24,18.24,3659.78,33.3,,66768.75,607.59,False,False
P0118,S06,2024-03-12,21.17,5146.97,46.84,,108954.4,991.49,False,False
P0119,S06,2024-11-08,7.08,3921.41,35.68,,27751.85,252.54,False,False
P0120,S06,2025-05-23,36.65,4041.35,36.78,,148108.6,1347.79,False,False
P0121,S06,2025-05-23,54.44,5280.34,48.05,,288824.92,2628.31,False,True
P0122,S06,2025-05-23,19.78,4112.89,37.43,,84307.94,767.2,False,True
P0123,S06,2025-05-23,18.89,4498.93,40.94,,84979.3,773.32,False,True
P0124,S06,2024-11-08,9.84,5762.49,52.44,,56710.38,516.06,False,False
P0125,S06,2024-11-08,10.57,9134.77,83.13,,96589.72,878.96,False,False
P0192,S06,2024-03-12,21.51,1512.74,13.77,302.54,32541.33,296.12,False,False
P0193,S06,2024-03-12,8.62,1710.32,15.56,570.11,14749.05,134.21,False,False
